類別,2013,2014,2015,2016,2017,2018,2019
戲劇,7.7,5.8,5.7,5.7,6,6.3,6.1
音樂,2.5,3,2.7,3.4,3.7,3.6,4.4
舞蹈,1.1,1.5,1.1,0.8,1.2,1.1,1.1
親子,0.9,1.2,1.2,1.1,1.1,1.1,1.3
其他,0.7,0.6,0.5,0.4,0.6,0.5,0.6
