類別,2013,2014,2015,2016,2017,2018,2019
戲劇,2312,2651,2744,2603,2720,2875,2916
音樂,1661,1717,1627,1805,1838,2016,2139
舞蹈,684,754,773,696,808,705,693
親子,724,925,970,802,831,904,815
其他,641,531,446,532,504,558,556
